SrcIP,SrcPort,DstIP,DstPort,StartTime_s,EndTime_s,Duration_s,TotalBytes,TotalPackets,Retransmissions,HandshakeTime_ms,MSS,IsElephant,AvgThroughput_bps
118.177.120.115,7816,14.206.178.203,1720,1744145100.339522,1744145100.339522,0.000001,0,1,0,-1.000,1460,0,0.00
224.250.97.108,62327,101.5.113.131,34567,1744145100.339504,1744145100.339504,0.000001,0,1,0,-1.000,536,0,0.00
208.5.173.157,23100,80.27.188.18,443,1744145100.339380,1744145100.339380,0.000001,0,1,0,-1.000,-1,0,0.00
40.233.72.147,873,55.186.178.203,34108,1744145100.339359,1744145100.339402,0.000043,8688,3,0,-1.000,-1,0,1616372093.02
196.71.246.45,56038,184.207.67.150,10000,1744145100.339355,1744145100.339355,0.000001,0,1,0,-1.000,-1,0,0.00
231.222.28.133,7788,112.32.161.83,48427,1744145100.339324,1744145100.339324,0.000001,0,1,0,-1.000,-1,0,0.00
68.105.228.139,61000,16.56.5.133,15000,1744145100.339231,1744145100.339231,0.000001,0,1,0,-1.000,1460,0,0.00
148.228.43.65,183,117.215.173.157,45824,1744145100.339208,1744145100.343889,0.004681,65652,45,0,-1.000,-1,0,112201666.31
51.114.113.131,34144,203.164.238.192,443,1744145100.339200,1744145100.339886,0.000686,1426,5,0,-1.000,-1,0,16629737.61
85.249.228.45,42894,146.162.24.202,7218,1744145100.339154,1744145100.339154,0.000001,19,1,0,-1.000,-1,0,152000000.00
20.77.165.138,17500,128.153.173.157,23,1744145100.339134,1744145100.339134,0.000001,0,1,0,-1.000,-1,0,0.00
75.131.70.162,38940,70.197.34.210,6001,1744145100.339132,1744145100.339132,0.000001,0,1,0,-1.000,1460,0,0.00
117.32.161.83,47519,51.197.34.210,3113,1744145100.339076,1744145100.339076,0.000001,0,1,0,-1.000,-1,0,0.00
161.158.2.47,56751,140.70.164.163,33395,1744145100.338934,1744145100.338934,0.000001,0,1,0,-1.000,-1,0,0.00
187.34.236.89,59341,45.195.67.150,8482,1744145100.338874,1744145100.338874,0.000001,0,1,0,-1.000,-1,0,0.00
224.53.15.133,443,22.136.102.110,25955,1744145100.338859,1744145100.338993,0.000134,8400,4,0,-1.000,-1,0,501492537.31
