SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
52.7.155.162,443,186.133.113.131,64510,170,1
42.187.113.131,25,207.86.235.172,49893,46,1
158.131.135.15,57433,61.220.5.133,4505,32,1
168.96.212.172,49577,67.244.5.133,5631,20,1
187.34.236.89,59341,145.250.67.150,34393,20,1
238.177.63.128,34637,217.33.148.202,2375,20,1
86.182.89.167,60935,87.142.164.163,40000,40,1
12.208.81.205,53921,147.230.178.203,4433,24,1
62.45.74.185,55402,197.224.67.150,23,20,1
206.159.205.45,14573,98.92.67.150,23,20,1
168.96.212.172,40337,125.252.5.133,5631,20,1
91.36.148.202,3389,0.17.140.45,42292,51,1
168.96.212.172,60061,11.253.5.133,5631,20,1
65.32.161.83,55634,150.164.178.203,6802,20,1
209.228.155.175,35580,248.104.123.199,443,44,1
241.123.110.185,38878,26.216.67.150,8989,20,1
187.34.236.89,59341,110.205.67.150,8582,20,1
34.115.207.193,51120,191.250.67.150,3900,24,1
88.87.123.196,42950,58.29.5.133,3128,20,1
48.107.236.120,1455,53.108.67.150,55749,60,1
203.176.155.175,30932,248.104.123.199,443,44,1
200.141.20.47,52284,54.162.24.202,12540,40,1
112.171.204.104,61013,204.131.164.163,8001,24,1
88.87.123.196,42947,134.229.152.202,1080,20,1
216.253.67.184,443,175.15.67.150,33885,83,1
216.253.67.184,443,175.15.67.150,33885,124,1
1.33.161.83,59845,109.29.238.103,50478,20,1
146.253.113.185,33109,36.207.5.133,443,32,1
227.129.135.15,45138,3.231.164.163,3074,32,1
36.163.58.220,40920,37.175.67.150,63504,40,1
93.56.67.150,443,248.39.220.93,29985,672,1
93.56.67.150,443,248.39.220.93,29985,2940,4
93.56.67.150,443,248.39.220.93,29985,10969,1
93.56.67.150,443,248.39.220.93,29985,5129,3
93.56.67.150,443,248.39.220.93,29985,16807,1
93.56.67.150,443,248.39.220.93,29985,15349,1
93.56.67.150,443,248.39.220.93,29985,4400,1
93.56.67.150,443,248.39.220.93,29985,10238,1
93.56.67.150,443,248.39.220.93,29985,3669,2
93.56.67.150,443,248.39.220.93,29985,12429,1
93.56.67.150,443,248.39.220.93,29985,2209,1
93.56.67.150,443,248.39.220.93,29985,5860,3
93.56.67.150,443,248.39.220.93,29985,16078,2
93.56.67.150,443,248.39.220.93,29985,8049,7
93.56.67.150,443,248.39.220.93,29985,12421,1
93.56.67.150,443,248.39.220.93,29985,14620,1
93.56.67.150,443,248.39.220.93,29985,23380,1
93.56.67.150,443,248.39.220.93,29985,21920,1
93.56.67.150,443,248.39.220.93,29985,5814,1
93.56.67.150,443,248.39.220.93,29985,16080,1
93.56.67.150,443,248.39.220.93,29985,1480,2
93.56.67.150,443,248.39.220.93,29985,11415,1
93.56.67.150,443,248.39.220.93,29985,11700,2
93.56.67.150,443,248.39.220.93,29985,8780,1
93.56.67.150,443,248.39.220.93,29985,13160,3
93.56.67.150,443,248.39.220.93,29985,10240,2
55.186.178.203,80,11.14.125.133,44419,14200,1
55.186.178.203,80,11.14.125.133,44419,19352,1
55.186.178.203,80,11.14.125.133,44419,20640,3
55.186.178.203,80,11.14.125.133,44419,2608,3
55.186.178.203,80,11.14.125.133,44419,10336,1
55.186.178.203,80,11.14.125.133,44419,12912,1
55.186.178.203,80,11.14.125.133,44419,9048,2
55.186.178.203,80,11.14.125.133,44419,16776,1
55.186.178.203,80,11.14.125.133,44419,11624,1
55.186.178.203,80,11.14.125.133,44419,1320,6
55.186.178.203,80,11.14.125.133,44419,3896,5
55.186.178.203,80,11.14.125.133,44419,7760,6
55.186.178.203,80,11.14.125.133,44419,6472,4
55.186.178.203,80,11.14.125.133,44419,5184,5
119.78.192.3,60846,124.35.148.202,2000,205,1
83.134.36.18,33048,176.36.148.202,5061,32,1
46.36.148.202,22,203.70.64.200,36535,1016,1
69.89.50.100,16227,128.250.15.133,70,20,1
42.80.21.47,51027,125.26.67.150,3004,32,1
198.190.225.194,80,63.95.164.163,8411,36,1
63.115.207.193,55326,79.202.152.202,9300,24,1
194.240.143.60,52075,143.116.112.131,993,44,1
239.129.135.15,49143,125.151.67.150,8406,32,1
148.252.27.156,55697,233.214.5.133,5902,32,1
50.175.28.133,64414,179.215.41.104,443,121,1
50.175.28.133,64414,179.215.41.104,443,146,1
50.175.28.133,64414,179.215.41.104,443,32,1
207.191.47.195,53476,40.207.152.202,15659,32,1
92.169.93.185,45049,242.253.152.202,80,20,1
99.6.233.79,1328,141.6.113.131,70,24,1
203.70.64.200,36535,46.36.148.202,22,54,1
144.138.89.207,26200,120.202.178.203,6505,24,1
244.71.101.212,45617,80.30.112.131,445,20,1
